pop_idx,indiv_idx,regime,welfare,diversity_score,rho,beta,follow_recommendation,N,T,sigma
0,0,rec,0.9247040381028372,242.77714285714288,0.1,0.1,False,1000,50,0.25
0,1,rec,0.9370065890630865,237.5591836734694,0.1,0.1,False,1000,50,0.25
0,2,rec,0.9266862577062842,239.17469387755102,0.1,0.1,False,1000,50,0.25
0,3,rec,0.92078228290671,238.29632653061225,0.1,0.1,False,1000,50,0.25
0,4,rec,0.9359709782940259,248.48489795918368,0.1,0.1,False,1000,50,0.25
0,5,rec,0.9477891939882704,247.03428571428572,0.1,0.1,False,1000,50,0.25
0,6,rec,0.9327093762710782,246.1322448979592,0.1,0.1,False,1000,50,0.25
0,7,rec,0.9414638505554072,240.2857142857143,0.1,0.1,False,1000,50,0.25
0,8,rec,0.914708274426301,235.93632653061226,0.1,0.1,False,1000,50,0.25
0,9,rec,0.9398975140135738,237.55755102040817,0.1,0.1,False,1000,50,0.25
0,10,rec,0.9333697875198941,245.6057142857143,0.1,0.1,False,1000,50,0.25
0,11,rec,0.9365455024058272,247.40489795918367,0.1,0.1,False,1000,50,0.25
0,12,rec,0.945276664179521,245.08979591836734,0.1,0.1,False,1000,50,0.25
0,13,rec,0.9442151976705756,243.60244897959186,0.1,0.1,False,1000,50,0.25
0,14,rec,0.9389718948492365,243.26775510204084,0.1,0.1,False,1000,50,0.25
0,15,rec,0.9330971228122026,243.16734693877552,0.1,0.1,False,1000,50,0.25
0,16,rec,0.9348034687852063,245.88081632653063,0.1,0.1,False,1000,50,0.25
0,17,rec,0.931632584098304,246.21224489795918,0.1,0.1,False,1000,50,0.25
0,18,rec,0.9389276148155808,245.4457142857143,0.1,0.1,False,1000,50,0.25
0,19,rec,0.9480843946561377,239.12816326530614,0.1,0.1,False,1000,50,0.25
0,20,rec,0.9376518157111847,246.97469387755103,0.1,0.1,False,1000,50,0.25
0,21,rec,0.9193282086153035,242.28979591836736,0.1,0.1,False,1000,50,0.25
0,22,rec,0.9414070072087128,241.08979591836734,0.1,0.1,False,1000,50,0.25
0,23,rec,0.9394835299819512,249.21224489795918,0.1,0.1,False,1000,50,0.25
0,24,rec,0.9436044322364003,241.24979591836737,0.1,0.1,False,1000,50,0.25
0,0,partial,0.9088369025998029,238.6995918367347,0.1,0.1,0.3,1000,50,0.25
0,1,partial,0.916981065530944,234.3787755102041,0.1,0.1,0.12,1000,50,0.25
0,2,partial,0.9092729913578955,227.44,0.1,0.1,0.28,1000,50,0.25
0,3,partial,0.8992995243485394,235.72163265306122,0.1,0.1,0.16,1000,50,0.25
0,4,partial,0.9126501757348312,242.8073469387755,0.1,0.1,0.34,1000,50,0.25
0,5,partial,0.9173186238959872,243.28979591836736,0.1,0.1,0.34,1000,50,0.25
0,6,partial,0.9141578708407956,242.0334693877551,0.1,0.1,0.16,1000,50,0.25
0,7,partial,0.9095738116567226,239.15591836734694,0.1,0.1,0.28,1000,50,0.25
0,8,partial,0.893633639822796,230.70285714285714,0.1,0.1,0.16,1000,50,0.25
0,9,partial,0.899111191012942,241.0791836734694,0.1,0.1,0.22,1000,50,0.25
0,10,partial,0.9248504088531999,244.36163265306124,0.1,0.1,0.36,1000,50,0.25
0,11,partial,0.9032289022938662,245.3461224489796,0.1,0.1,0.22,1000,50,0.25
0,12,partial,0.9151187787407884,232.7779591836735,0.1,0.1,0.4,1000,50,0.25
0,13,partial,0.898127206597871,242.26204081632653,0.1,0.1,0.18,1000,50,0.25
0,14,partial,0.9091914693555356,231.46693877551022,0.1,0.1,0.38,1000,50,0.25
0,15,partial,0.9185987031549957,240.09714285714287,0.1,0.1,0.32,1000,50,0.25
0,16,partial,0.9115702917063048,245.3387755102041,0.1,0.1,0.26,1000,50,0.25
0,17,partial,0.8984470238852974,241.2530612244898,0.1,0.1,0.14,1000,50,0.25
0,18,partial,0.9164436027967537,233.02448979591838,0.1,0.1,0.24,1000,50,0.25
0,19,partial,0.9264284819915863,240.85061224489797,0.1,0.1,0.26,1000,50,0.25
0,20,partial,0.8992848237670309,224.88244897959186,0.1,0.1,0.28,1000,50,0.25
0,21,partial,0.9000352113530096,238.22938775510204,0.1,0.1,0.36,1000,50,0.25
0,22,partial,0.915622953721267,229.45142857142858,0.1,0.1,0.32,1000,50,0.25
0,23,partial,0.8928486501588924,244.3926530612245,0.1,0.1,0.28,1000,50,0.25
0,24,partial,0.9049467760817629,241.4261224489796,0.1,0.1,0.16,1000,50,0.25
0,0,no_rec,0.19281086582414916,237.66367346938776,0.1,0.1,False,1000,50,0.25
0,1,no_rec,0.0358714035662962,239.5934693877551,0.1,0.1,False,1000,50,0.25
0,2,no_rec,0.10616875553843379,238.06367346938777,0.1,0.1,False,1000,50,0.25
0,3,no_rec,0.06859732251815708,213.7257142857143,0.1,0.1,False,1000,50,0.25
0,4,no_rec,0.14138106983659104,230.49632653061227,0.1,0.1,False,1000,50,0.25
0,5,no_rec,-0.06787570228663052,238.9991836734694,0.1,0.1,False,1000,50,0.25
0,6,no_rec,0.05604914628807701,224.32081632653063,0.1,0.1,False,1000,50,0.25
0,7,no_rec,0.1681832205870644,250.6187755102041,0.1,0.1,False,1000,50,0.25
0,8,no_rec,0.2610253001406822,192.48163265306124,0.1,0.1,False,1000,50,0.25
0,9,no_rec,-0.016841177294093384,226.425306122449,0.1,0.1,False,1000,50,0.25
0,10,no_rec,0.1332934246103882,241.94448979591837,0.1,0.1,False,1000,50,0.25
0,11,no_rec,0.0928499340230983,241.30285714285716,0.1,0.1,False,1000,50,0.25
0,12,no_rec,0.11408938596313911,235.6342857142857,0.1,0.1,False,1000,50,0.25
0,13,no_rec,0.17751632447494015,191.90122448979594,0.1,0.1,False,1000,50,0.25
0,14,no_rec,0.07302420726064841,242.5069387755102,0.1,0.1,False,1000,50,0.25
0,15,no_rec,-0.06326221404794084,246.7591836734694,0.1,0.1,False,1000,50,0.25
0,16,no_rec,0.125075201216058,223.78367346938776,0.1,0.1,False,1000,50,0.25
0,17,no_rec,0.03086980551412391,246.1926530612245,0.1,0.1,False,1000,50,0.25
0,18,no_rec,0.17935607508117657,190.7248979591837,0.1,0.1,False,1000,50,0.25
0,19,no_rec,0.1521296715984758,220.71591836734694,0.1,0.1,False,1000,50,0.25
0,20,no_rec,0.09662096268308061,233.2065306122449,0.1,0.1,False,1000,50,0.25
0,21,no_rec,0.026815068066677133,228.92816326530613,0.1,0.1,False,1000,50,0.25
0,22,no_rec,0.015860684362432126,206.585306122449,0.1,0.1,False,1000,50,0.25
0,23,no_rec,-0.017901986178754027,231.87591836734694,0.1,0.1,False,1000,50,0.25
0,24,no_rec,0.05917735055194274,234.4391836734694,0.1,0.1,False,1000,50,0.25
1,0,rec,0.9123426125766922,250.96244897959184,0.1,0.1,False,1000,50,0.25
1,1,rec,0.905871941622455,250.82285714285715,0.1,0.1,False,1000,50,0.25
1,2,rec,0.914277553699273,246.4661224489796,0.1,0.1,False,1000,50,0.25
1,3,rec,0.9192275956960596,250.56816326530614,0.1,0.1,False,1000,50,0.25
1,4,rec,0.9247431100755936,251.2587755102041,0.1,0.1,False,1000,50,0.25
1,5,rec,0.910700907152094,247.42204081632653,0.1,0.1,False,1000,50,0.25
1,6,rec,0.9116086486229744,241.53061224489798,0.1,0.1,False,1000,50,0.25
1,7,rec,0.8976421773845984,253.7061224489796,0.1,0.1,False,1000,50,0.25
1,8,rec,0.8965086511519578,251.0448979591837,0.1,0.1,False,1000,50,0.25
1,9,rec,0.914297088103437,252.79346938775512,0.1,0.1,False,1000,50,0.25
1,10,rec,0.9148400253700676,252.2857142857143,0.1,0.1,False,1000,50,0.25
1,11,rec,0.90884884490858,246.2065306122449,0.1,0.1,False,1000,50,0.25
1,12,rec,0.9016338004741927,247.61632653061224,0.1,0.1,False,1000,50,0.25
1,13,rec,0.9175445122230386,248.00408163265308,0.1,0.1,False,1000,50,0.25
1,14,rec,0.9000463393784552,251.23673469387757,0.1,0.1,False,1000,50,0.25
1,15,rec,0.9044587130735607,253.56,0.1,0.1,False,1000,50,0.25
1,16,rec,0.9063673086369239,250.9787755102041,0.1,0.1,False,1000,50,0.25
1,17,rec,0.9142119909403911,248.7461224489796,0.1,0.1,False,1000,50,0.25
1,18,rec,0.9160461608109957,249.80081632653062,0.1,0.1,False,1000,50,0.25
1,19,rec,0.9156651302293847,252.01632653061225,0.1,0.1,False,1000,50,0.25
1,20,rec,0.9179286189557111,254.07183673469387,0.1,0.1,False,1000,50,0.25
1,21,rec,0.9123475930219601,250.71673469387756,0.1,0.1,False,1000,50,0.25
1,22,rec,0.9179571684371252,251.39020408163267,0.1,0.1,False,1000,50,0.25
1,23,rec,0.9282158477244391,249.86204081632653,0.1,0.1,False,1000,50,0.25
1,24,rec,0.9242624502323967,252.28816326530614,0.1,0.1,False,1000,50,0.25
1,0,partial,0.8893690012677788,252.01877551020408,0.1,0.1,0.42,1000,50,0.25
1,1,partial,0.8611418778154601,250.90285714285716,0.1,0.1,0.4,1000,50,0.25
1,2,partial,0.8972035844713231,251.72244897959186,0.1,0.1,0.3,1000,50,0.25
1,3,partial,0.8721788039683416,251.90040816326533,0.1,0.1,0.32,1000,50,0.25
1,4,partial,0.8900794356227582,248.1395918367347,0.1,0.1,0.34,1000,50,0.25
1,5,partial,0.8685206771386537,250.62775510204082,0.1,0.1,0.32,1000,50,0.25
1,6,partial,0.8812741313820704,245.7330612244898,0.1,0.1,0.3,1000,50,0.25
1,7,partial,0.8538889143816273,249.96489795918367,0.1,0.1,0.32,1000,50,0.25
1,8,partial,0.8628008935619683,250.23346938775512,0.1,0.1,0.4,1000,50,0.25
1,9,partial,0.871275826291199,251.17061224489797,0.1,0.1,0.3,1000,50,0.25
1,10,partial,0.8949402001007867,253.04244897959185,0.1,0.1,0.38,1000,50,0.25
1,11,partial,0.8685731789219101,251.31020408163266,0.1,0.1,0.36,1000,50,0.25
1,12,partial,0.8767693874894346,242.80816326530612,0.1,0.1,0.36,1000,50,0.25
1,13,partial,0.8603302496206684,247.88163265306125,0.1,0.1,0.36,1000,50,0.25
1,14,partial,0.885840127177849,253.7983673469388,0.1,0.1,0.42,1000,50,0.25
1,15,partial,0.8689179362324367,248.37469387755104,0.1,0.1,0.38,1000,50,0.25
1,16,partial,0.8775674474895387,250.0530612244898,0.1,0.1,0.26,1000,50,0.25
1,17,partial,0.8949424875489844,249.58367346938778,0.1,0.1,0.32,1000,50,0.25
1,18,partial,0.8764139156426544,250.40734693877553,0.1,0.1,0.3,1000,50,0.25
1,19,partial,0.8672184425160321,248.40408163265306,0.1,0.1,0.32,1000,50,0.25
1,20,partial,0.8748631899597575,251.44326530612247,0.1,0.1,0.24,1000,50,0.25
1,21,partial,0.8921548729193829,245.97061224489798,0.1,0.1,0.42,1000,50,0.25
1,22,partial,0.8940455030640715,252.7257142857143,0.1,0.1,0.36,1000,50,0.25
1,23,partial,0.8763510901073706,248.49469387755104,0.1,0.1,0.3,1000,50,0.25
1,24,partial,0.8750301584760172,244.71673469387756,0.1,0.1,0.36,1000,50,0.25
1,0,no_rec,0.02148910909790564,197.4,0.1,0.1,False,1000,50,0.25
1,1,no_rec,0.013114212425274272,228.9673469387755,0.1,0.1,False,1000,50,0.25
1,2,no_rec,0.06437093500422147,234.2465306122449,0.1,0.1,False,1000,50,0.25
1,3,no_rec,0.0778934596224812,245.66448979591837,0.1,0.1,False,1000,50,0.25
1,4,no_rec,0.03481045046003127,230.1118367346939,0.1,0.1,False,1000,50,0.25
1,5,no_rec,0.0973429989163382,203.79591836734696,0.1,0.1,False,1000,50,0.25
1,6,no_rec,0.08550056081303671,230.7657142857143,0.1,0.1,False,1000,50,0.25
1,7,no_rec,-0.06856494362809386,225.4734693877551,0.1,0.1,False,1000,50,0.25
1,8,no_rec,0.0037200226769028323,243.17551020408163,0.1,0.1,False,1000,50,0.25
1,9,no_rec,0.02608541321179211,244.05714285714288,0.1,0.1,False,1000,50,0.25
1,10,no_rec,0.09809654549897408,242.2848979591837,0.1,0.1,False,1000,50,0.25
1,11,no_rec,-0.0057143108634021625,245.18367346938777,0.1,0.1,False,1000,50,0.25
1,12,no_rec,0.1611578916250978,211.87755102040816,0.1,0.1,False,1000,50,0.25
1,13,no_rec,0.02581116199539385,227.5722448979592,0.1,0.1,False,1000,50,0.25
1,14,no_rec,0.04357689243527009,246.85877551020408,0.1,0.1,False,1000,50,0.25
1,15,no_rec,0.06439402017105554,248.76000000000002,0.1,0.1,False,1000,50,0.25
1,16,no_rec,0.05711658314728286,212.0457142857143,0.1,0.1,False,1000,50,0.25
